题目ID,题目陈述,题目类型,内容分类,难度等级,分值,是否启用,选项A,选项B,选项C,选项D,选项E,选项F,正确答案,题目解析,出题人,创建时间,最后修改时间
01355,在进行无人机电机和螺旋桨的安装时，应确保电机没有通电，以避免意外启动造成伤害。,单选题,结构组成,中等,2,是,正确,错误,,,,,正确,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:31
01356,无人机装配时，对于工具的正确处理方式包括（）。,多选题,结构组成,中等,3,是,使用后立即归位,随意放置,确保工具状态良好,定期检查工具,定期维护工具,,使用后立即归位;确保工具状态良好;定期检查工具;定期维护工具,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:31
01357,无人机机械装配场地的安全管理措施包括（ ）。,多选题,结构组成,中等,3,是,划分不同功能区域，如装配区、检测区、物料存放区,张贴明显的安全警示标识,配备急救箱（不考虑消防）,定期对场地设备进行维护保养,限制非装配人员进入,,划分不同功能区域，如装配区、检测区、物料存放区;张贴明显的安全警示标识;定期对场地设备进行维护保养;限制非装配人员进入,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:31
01358,（）是电阻的单位。,单选题,控制算法,中等,2,是,Ohm (欧姆),Volt (伏特),Ampere (安培),Watt (瓦特),,,Ohm (欧姆),,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:32
01359,（）是在电子电路中用来控制电流的流动的元件。,单选题,控制算法,中等,2,是,Resistor (电阻器),Capacitor (电容器),Transistor (晶体管),Inductor (电感器),,,Transistor (晶体管),,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:32
01360,电容器的作用是（）。,单选题,控制算法,中等,2,是,储存电荷,控制电流的流动,改变电压,产生电能,,,储存电荷,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:32
01361,电子电路中的“导线”通常用来（）。,单选题,控制算法,中等,2,是,控制电流的方向,连接电路组件,产生电能,存储能量,,,连接电路组件,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:32
01362,在无人机电子电路中，电流的单位是伏特（V）。,单选题,控制算法,中等,2,是,正确,错误,,,,,错误,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:32
01363,无人机电路中的电阻可以通过欧姆定律（V = IR）来计算，其中V表示电压，I表示电流，R表示电阻。,单选题,控制算法,中等,2,是,正确,错误,,,,,正确,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:32
01364,关于电路中电流和电压的说法，正确的是（）。,多选题,控制算法,中等,3,是,电流是电子在电路中的流动，单位为安培（A）,电压是电子的电位差，单位为伏特（V）,电流的方向是正电荷流动的方向,电压是电子流动的速度,电流和电压在电路中是完全独立的，不会相互影响,,电流是电子在电路中的流动，单位为安培（A）;电压是电子的电位差，单位为伏特（V）,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:32
01365,关于无人机电子电路的描述，正确的是（）。,多选题,控制算法,中等,3,是,控制器（Flight Controller）负责处理飞行数据和控制信号,电池是无人机电路中提供电力的主要来源,电机是负责提供飞行动力的关键组件,GPS模块用于发送和接收通信信号,无人机电子电路仅用于电池充电管理,,控制器（Flight Controller）负责处理飞行数据和控制信号;电池是无人机电路中提供电力的主要来源,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:32
01366,交流电的频率赫兹通常是（）。,单选题,控制算法,中等,2,是,50Hz,60Hz,70Hz,80Hz,,,50Hz,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:32
01367,（）描述了交流电的优点。,单选题,控制算法,中等,2,是,长距离传输时能量损失小,安全性高,使用方便,维护成本低,,,长距离传输时能量损失小,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:32
01368,交流电的频率在不同国家和地区通常是（）。,单选题,控制算法,中等,2,是,50 Hz 或 60 Hz,100 Hz 或 120 Hz,200 Hz 或 240 Hz,固定为 50 Hz,,,50 Hz 或 60 Hz,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:32
01369,直流电和交流电的主要区别是（）。,单选题,控制算法,中等,2,是,直流电的电流方向不变，交流电的电流方向周期性改变,交流电的电流方向不变，直流电的电流方向周期性改变,直流电的电压不变，交流电的电压变化,交流电的频率高于直流电,,,直流电的电流方向不变，交流电的电流方向周期性改变,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:32
01370,交流电（AC）的电流方向是周期性变化的，因此常用于输电和家庭电力供应。,单选题,控制算法,中等,2,是,正确,错误,,,,,正确,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:32
01371,直流电（DC）是指电流方向始终不变的电流类型。,单选题,控制算法,中等,2,是,正确,错误,,,,,正确,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:32
01372,关于无人机电力系统中电流类型的描述，正确的是（）。,多选题,控制算法,中等,3,是,交流电是通过电动机驱动无人机飞行的唯一电源,无人机的主电池通常为直流电源,直流电流的方向是恒定的,电池充电时是交流电流,交流电流的方向是恒定的,,无人机的主电池通常为直流电源;直流电流的方向是恒定的,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:32
01373,（）中无人机可能使用交流电。,多选题,控制算法,中等,3,是,电机驱动系统,电池充电过程,电动刹车系统,电动伺服系统,动力电池,,电动刹车系统;电动伺服系统,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:32
01374,在一段电路中，已知电流为2A，电压为6V，则电阻是（）。,单选题,控制算法,中等,2,是,3Ω,6Ω,9Ω,12Ω,,,3Ω,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:32
01375,在一个电源上，已知电压为12V，电阻为4Ω，则电流是（）。,单选题,控制算法,中等,2,是,3A,4A,5A,6A,,,6A,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:32
01376,如果电阻保持不变，电压增加，电流会（）。,单选题,控制算法,中等,2,是,增加,减少,不变,取决于具体情况,,,增加,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:32
01377,电功率是指（）。,单选题,控制算法,中等,2,是,电流的大小,电压的大小,电流与电压的乘积,电流与时间的乘积,,,电流与电压的乘积,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:32
01378,电功率P与电压V和电流I的关系是线性的，即功率P与电流I的平方成正比。,单选题,控制算法,中等,2,是,正确,错误,,,,,正确,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:32
01379,在无人机的电路中，如果电阻R保持不变，当电流I增加时，根据欧姆定律，电压V也会增加。,单选题,控制算法,中等,2,是,正确,错误,,,,,正确,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:32
01380,关于欧姆定律的描述，正确的是（）。,多选题,控制算法,中等,3,是,欧姆定律表明电阻不变时，电流大小与电压大小成正比,当电阻不变时，电流和电压呈反比关系,欧姆定律适用于所有类型的电路,欧姆定律适用于直流电路和部分交流电路,欧姆定律只适用于金属导体,,欧姆定律表明电阻不变时，电流大小与电压大小成正比;欧姆定律适用于直流电路和部分交流电路,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:32
01381,无人机电功率的计算方式正确是（）。,多选题,控制算法,中等,3,是,考虑多个电机时，将每个电机的功率相加得到总电功率,电功率表示单位时间内消耗或产生的能量,无人机飞行时电功率可以为负值,仅依据电池的容量大小来计算,根据无人机飞行的速度和空气阻力来计算,,考虑多个电机时，将每个电机的功率相加得到总电功率;电功率表示单位时间内消耗或产生的能量,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:32
01382,电气原理图中，连接线的交点如果没有特殊标记，则意味着(  )。,单选题,控制算法,中等,2,是,导线在此处连接,导线在此处断开,导线在此处有特殊要求,导线在此处有附加元件,,,导线在此处连接,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:32
01383,在电气原理图中，“L1、L2、L3”一般表示(  )。,单选题,控制算法,中等,2,是,三相交流电的三个相序,三条不同颜色的导线,三个不同的电气元件,三个不同的电流等级,,,三相交流电的三个相序,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:32
01384,在电气原理图中，电路的正极通常用（）符号表示。,单选题,控制算法,中等,2,是,+,-,~,*,,,+,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:32
01385,"在电气原理图中，导线的编号“W1, W2, W3”代表了(  )。",单选题,控制算法,中等,2,是,导线颜色,导线长度,导线截面面积,导线的连接顺序,,,导线的连接顺序,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:32
01386,在无人机的电气原理图中，如果一个电阻并联于电源电路中，则它的电阻值会直接影响整个电路的总电流。,单选题,控制算法,中等,2,是,正确,错误,,,,,正确,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:32
01387,在无人机电路的电气图中，二极管的符号通常是一个三角形指向一条线，表示电流只能单方向流动。,单选题,控制算法,中等,2,是,正确,错误,,,,,正确,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:32
01388,在无人机电子电路中，（）元件可能会在控制电路中使用。,多选题,控制算法,中等,3,是,晶体管,微控制器,电感器,陀螺仪,热电偶,,微控制器;陀螺仪,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:32
01389,（）通常可以在无人机电气图中找到。,多选题,控制算法,中等,3,是,电池,电机,传感器,蓝牙模块,液压系统,,电池;电机,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:32
01390,气压高度计是利用（）原理来测量高度的仪器。,单选题,控制算法,中等,2,是,激光测距,雷达探测,气压变化,立体几何计算,,,气压变化,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:32
01391,随着海拔高度的上升，大气压力（）变化，这是气压高度计工作的基础原理之一。,单选题,控制算法,中等,2,是,上升,下降,保持不变,无法确定,,,下降,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:32
01392,气压高度计中，（）部件是感应大气静压力的敏感元件。,单选题,控制算法,困难,2,是,机械传动机构,真空膜盒,静压导管,指示部件,,,真空膜盒,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:32
01393,气压高度计在（）领域有着广泛的应用。,单选题,控制算法,中等,2,是,医学诊断,农业灌溉,航空飞行,建筑施工,,,航空飞行,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:32
01394,气压高度计的读数可以直接与海平面高度对应，但需要根据当前的温度、气压和天气条件进行修正才能准确计算。,单选题,控制算法,中等,2,是,正确,错误,,,,,正确,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:32
01395,气压高度计通过测量大气压的变化来确定飞行器的高度，因此其读数会随环境气压的变化而波动。,单选题,控制算法,中等,2,是,正确,错误,,,,,正确,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:32
01396,关于无人机气压高度计的描述，正确的是（）。,多选题,控制算法,困难,3,是,气压高度计使用大气压力来计算高度,气压高度计的精度受大气压力变化的影响较大,气压高度计不适用于高空飞行,气压高度计通常用于测量相对高度,气压高度计可以直接测量无人机的海拔高度,,气压高度计使用大气压力来计算高度;气压高度计的精度受大气压力变化的影响较大;气压高度计通常用于测量相对高度,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:32
01397,（）因素会影响无人机气压高度计的精度。,多选题,控制算法,中等,3,是,大气压力变化,湿度,温度,风速,电池电量,,大气压力变化;温度,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:32
01398,无人机惯性测量单元（IMU）主要用于测量（）参数。,单选题,控制算法,中等,2,是,电磁信号强度,气压变化,物体姿态、角速度和加速度,地面高度,,,物体姿态、角速度和加速度,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:32
01399,IMU通过（）主要组件来实现其功能。,单选题,控制算法,中等,2,是,磁力计和超声波传感器,陀螺仪和加速度计,激光雷达和摄像头,气压计和温度传感器,,,陀螺仪和加速度计,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:32
01400,在无人机应用中，IMU主要用于（）方面。,单选题,控制算法,中等,2,是,地图绘制与导航,视频拍摄与传输,姿态控制、导航和定位,环境温度监测,,,姿态控制、导航和定位,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:32
01401,IMU相比其他定位技术，其显著特点是（）。,单选题,控制算法,中等,2,是,依赖GPS信号,抗干扰能力强，不依赖外界信号,精度随时间累积误差大,无法进行姿态测量,,,抗干扰能力强，不依赖外界信号,,超级管理员,2025-09-18 15:38:26,2025-09-18 15:38:32
